kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 47 : 163840 1875200 0 0 0 20480 5120 0 0 
_1.ptx 46 : 163840 1817504 0 0 0 0 0 0 0 
_1.ptx 45 : 163840 1154080 0 0 0 0 0 0 0 
_1.ptx 44 : 163840 1812960 0 0 0 0 0 0 0 
_1.ptx 43 : 163840 157640864 0 0 0 20480 5120 0 0 
_1.ptx 42 : 163840 152078080 0 0 0 20480 5120 0 0 
_1.ptx 41 : 163840 1825088 0 0 0 0 0 0 0 
_1.ptx 40 : 163840 1164800 0 0 0 0 0 0 0 
_1.ptx 39 : 163840 1824544 0 0 0 0 0 0 0 
_1.ptx 38 : 163840 1716096 0 0 0 0 0 0 0 
_1.ptx 37 : 163840 1168256 0 0 0 0 0 0 0 
_1.ptx 26 : 163840 1717664 0 0 0 0 0 0 0 
_1.ptx 50 : 163840 983200 0 0 0 0 0 0 0 
_1.ptx 27 : 163840 1712576 0 0 0 0 0 0 0 
_1.ptx 28 : 163840 2415424 0 0 0 0 0 0 0 
_1.ptx 29 : 163840 2351040 0 0 0 0 0 0 0 
_1.ptx 30 : 163840 983552 0 0 0 0 0 0 0 
_1.ptx 31 : 163840 983392 0 0 0 0 0 0 0 
_1.ptx 32 : 163840 983680 0 0 0 0 0 0 0 
_1.ptx 33 : 163840 2189472 0 0 0 0 0 0 0 
_1.ptx 34 : 163840 1334848 0 0 0 0 0 0 0 
_1.ptx 35 : 163840 0 0 0 0 0 0 0 0 
